cust_id,age,gender,marital_status,education_level,employment_type,monthly_income,residence_type,city,state,application_id,application_date,product_type,channel,requested_amount,tenure_months,account_id,account_open_date,current_balance,emi_amount,bureau_score,total_accounts,active_accounts,overdue_accounts,recent_enquiries_6m,broken_ptp_flag,write_off_flag,legal_case_flag,ptp_kept_ratio,default_6m_flag,snapshot_date,credit_card_utilization_pct,past_due_accounts_count,recent_loan_inquiry_flag,repayment_to_due_ratio,early_repayment_flag,bureau_score_flag,dpd_m1,dpd_m2,dpd_m3,dpd_m4,dpd_m5,dpd_m6,dpd_m7,dpd_m8,dpd_m9,dpd_m10,dpd_m11,dpd_m12,default_flag,dpd_max,dpd_avg,dpd_count_30plus,dpd_count_60plus,dpd_count_90plus,dpd_trend_flag,emi_vs_income_ratio,salary_credit_regular,behavioural_score,pos_transaction_volume,mobile_login_frequency,overdue_to_total_ratio,active_account_ratio,enquiries_flag,risk_score_band,high_enquiry_interaction,overdue_flag,total_account_bucket,low_risk_band_flag,bureau_score_bucket,score_enquiry_score,accounts_gap,enquiry_to_account_ratio,overdue_normalized,enquiry_3plus_flag,average_balance,minimum_balance,salary_credits_3m,emi_bounce_count,account_tenure_months,emi_to_income_ratio,min_balance_ratio,low_balance_month_flag,salary_credit_flag,tenure_bucket,emi_high_flag,low_income_flag,emi_normalized,balance_utilization_score,salary_to_emi_ratio,emi_income_ratio,dpd_month1,dpd_month2,dpd_month3,dpd_month4,dpd_month5,dpd_month6,obs_months,dpd_sum_total,dpd_std_dev,dpd_count_60_plus,dpd_count_90_plus,i,dpd_30_flag,dpd_60_flag,dpd_90_flag,months_since_last_dpd,dpd_rolling_3_months,dpd_escalation_flag,dpd_peak_month,dpd_high_flag,ptp_failure_flag,disbursal_gap_days,disbursal_gap_weeks,disbursal_gap_category,quick_disbursal_flag,very_slow_disbursal_flag,digital_channel_flag,in_branch_flag,channel_code,long_tenure_flag,short_term_loan_flag,ultra_short_flag,tenure_category,requested_bucket,high_requested_flag,low_requested_flag,active_tenure_months,account_age_bucket,account_fresh_flag,account_mature_flag,loan_cycle_position,channel_online_flag,tenure_category_flag,high_utilization_flag,low_utilization_flag,moderate_utilization_flag,utilization_bucket,utilization_score,credit_segment,utilization_to_limit_ratio,utilization_weighted_score,util_flag,utilization_band,loan_size_score,short_term_flag,long_term_flag,requested_per_tenure,loan_burden_ratio,application_month,application_year,festive_season_flag,financial_year_start_flag,end_of_year_push_flag,tenure_to_income_ratio,amount_income_term_score,high_stress_combination,short_loan_flag,long_loan_flag,bucketed_tenure_group,disbursal_load_flag,request_term_ratio_flag,clean_repayment_flag,ever_60_plus_flag,ever_90_plus_flag,recent_dpd_flag,dpd_escalation_stress_flag,recovery_ratio_flag,poor_recovery_flag,recovery_gap_score,effective_recovery_bucket,recovery_success_flag,ptp_broken_flag,ptp_compliance_flag,ptp_failure_history_flag,clean_pay_flag,ptp_repayment_flag,dpd_escalation_flag_alias,ptp_gap_flag,internal_behavior_score,risk_band_code,manual_override_flag,behavior_stability_index,low_bureau_score_flag,high_bureau_score_flag,bureau_score_bucket_50,bureau_score_bucket_100,score_band_segment,behavior_score_gap,behavior_agreement_flag,high_behavioral_risk_flag,behavior_bureau_interaction,avg_combined_score,internal_risk_band_flag,dual_low_score_flag,risk_segment_score_flag,external_override_flag,stable_behavior_flag,risk_band_indicator
CUST000001,36,F,Married,Graduate,Unemployed,35731,Owned,Hortonview,Iowa,APP000001,2022-01-13,Home Loan,DSA,265508,60,ACC000001,2022-08-30,233415,4646.39,672,7,3,2,4,0,0,0,0.98,0,2022-12-31,89.94,2,0,0.76,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,45,3.75,1,0,0,0,0.13003806218689654,1,599.5260514106146,10,6,0.2857142857,0.4285714286,1,Medium,0,1,B7,0,650,2688,4,0.5714285714,0.4,1,60000,8000,3,0,24,0.3644034376,0.1333333333,1,1,5,0,0,4646.39,12.913250932,7.6900561511,0.1300380622,JAN,FEB,MAR,APR,MAY,JUN,6,180,37.947331922,2,1,7,1,1,1,0,150,0,JU,1,0,-517,-74,Fast,1,0,0,0,0,0,0,0,Long,5,1,0,35,5,0,1,Late,0,0,1,0,0,8,0.8994,High,0.0003387469,719.52,1,8,7.4307464107,0,0,4352.5901639,0.1238457735,1,2024,0,0,0,0.0016791671,445.83230718,0,0,0,5,0,4352.5901639,0,1,1,1,0,0,0,0.24,7,0,0,1,0,0,1,0,0,721.07566038,M,0,86.310498661,0,0,650,600,Medium,-49.07566038,1,0,484562.84377,696.53783019,0,0,0,0,1,0
CUST000002,41,M,Single,High School,Unemployed,9577,Parental,Jacobsbury,Ohio,APP000002,2022-05-21,Home Loan,DSA,82495,36,ACC000002,2020-08-09,247499,2406.1,338,1,2,2,2,0,0,0,0.73,1,2022-12-31,43.79,1,0,1.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.2512373394591208,1,590.299257510879,8,6,2.0,2.0,0,Very Low,0,1,B1,0,300,676,-1,2.0,0.6666666667,0,60000,8000,3,0,24,1.5266721977,0.1333333333,1,1,3,0,1,2406.1,24.936619426,3.9803000707,0.2512373395,JAN,FEB,MAR,APR,MAY,JUN,6,180,37.947331922,2,1,7,1,1,1,0,150,0,JU,1,0,-1675,-239,Fast,1,0,0,0,0,0,0,0,Medium,1,0,0,59,9,0,1,Late,0,0,0,0,1,4,0.4379,Mid,0.00053082,175.16,0,4,8.6138665553,0,0,2229.5945946,0.239274071,3,2025,0,0,1,0.0037586135,310.0668198,0,0,0,3,0,2229.5945946,0,1,1,1,0,1,0,-0.15,11,1,0,1,0,0,1,0,0,720.014485,M,0,95.089305781,1,0,300,300,Low,-382.014485,0,0,243364.89593,529.0072425,0,0,0,0,1,0
CUST000003,34,F,Married,Graduate,Unemployed,23410,Owned,Kennethberg,Oklahoma,APP000003,2022-05-06,Home Loan,DSA,377646,12,ACC000003,2024-01-19,257920,33044.02,726,4,4,1,3,0,0,0,0.79,0,2022-12-31,54.01,1,0,1.08,0,0,0,60,75,0,0,0,0,0,0,0,0,17,0,75,12.666666666666666,2,2,0,0,1.4115343870140964,1,732.2942349709003,14,9,0.25,1.0,1,High,0,0,B4,1,700,2178,0,0.75,0.25,1,60000,8000,3,0,24,0.6734034944,0.1333333333,1,1,1,1,0,33044.02,1.8157597048,0.7084489115,1.411534387,JAN,FEB,MAR,APR,MAY,JUN,6,180,37.947331922,2,1,7,1,1,1,0,150,0,JU,1,0,171,24,Slow,0,1,0,0,0,0,1,0,Short,7,1,0,18,3,0,0,Late,0,0,0,0,1,5,0.5401,High,0.0001430175,270.05,0,5,16.131824007,1,0,29049.692308,1.3443186672,8,2023,0,0,0,0.0005125796,193.57361924,0,1,0,1,0,29049.692308,0,1,1,1,0,1,0,-0.08,10,1,0,1,0,0,1,0,0,689.54166875,M,0,50.496423747,0,0,700,700,High,36.458331254,1,0,500607.25151,707.77083437,0,0,0,0,0,0
CUST000004,38,F,Married,Post Graduate,Unemployed,43470,Rented,West Tiffanyshire,Hawaii,APP000004,2022-04-25,Auto Loan,DSA,397594,12,ACC000004,2023-05-22,136548,34789.48,473,6,4,1,4,0,0,0,0.1,1,2022-12-31,81.21,0,1,0.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.8003100989187947,1,658.0015390803751,7,5,0.1666666667,0.6666666667,1,Very Low,1,0,B6,0,450,1892,2,0.6666666667,0.2,1,60000,8000,3,0,24,0.321833889,0.1333333333,1,1,1,1,0,34789.48,1.7246592936,1.2495156582,0.8003100989,JAN,FEB,MAR,APR,MAY,JUN,6,180,37.947331922,2,1,7,1,1,1,0,150,0,JU,1,0,-292,-41,Fast,1,0,0,0,0,0,1,0,Short,7,1,0,26,4,0,1,Late,0,0,1,0,0,8,0.8121,High,0.0002042536,649.68,1,8,9.146399816,1,0,30584.153846,0.7621999847,3,2024,0,0,1,0.0002760461,109.75427296,0,1,0,1,0,30584.153846,0,1,1,1,0,1,0,0.09,9,1,0,0,0,0,0,0,0,741.34871673,M,0,74.795735922,1,0,450,400,Low,-268.3487167,0,0,350657.94301,607.17435836,0,0,0,0,1,0
CUST000005,36,M,Single,High School,Unemployed,39209,Rented,West Douglasview,Illinois,APP000005,2022-03-13,Home Loan,Online,365511,48,ACC000005,2021-06-08,62452,7995.55,876,4,4,0,4,1,0,1,0.83,0,2022-12-31,67.43,1,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.2039212935805555,1,790.1502800465861,9,8,0.0,1.0,1,Very High,0,0,B4,1,850,3504,0,1.0,0.0,1,60000,8000,3,0,24,0.3915819024,0.1333333333,1,1,4,0,0,7995.55,7.5041741969,4.9038527681,0.2039212936,JAN,FEB,MAR,APR,MAY,JUN,6,180,37.947331922,2,1,7,1,1,1,0,150,0,JU,1,1,-1381,-197,Fast,1,0,1,0,1,0,0,0,Long,7,1,0,49,8,0,1,Late,1,0,0,0,1,6,0.6743,High,0.0001844815,404.58,0,6,9.3221199214,0,0,7459.4081633,0.1942108317,3,2025,0,0,1,0.0012241775,447.4503443,0,0,0,4,0,7459.4081633,0,1,1,1,0,1,0,0.15,8,1,1,1,1,0,1,0,1,602.88350406,M,0,60.096412874,0,1,850,800,High,273.11649594,0,0,528125.94956,739.44175203,0,0,0,0,0,0
CUST000006,68,F,Divorced,High School,Unemployed,29036,Owned,Philipborough,Virginia,APP000006,2022-02-22,Personal Loan,DSA,394138,48,ACC000006,2021-03-02,63983,8621.77,800,7,1,2,1,1,0,0,0.14,0,2022-12-31,72.49,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.296933806309409,1,755.299206232725,12,5,0.2857142857,0.1428571429,0,Very High,0,1,B7,1,800,800,6,0.1428571429,1.0,0,60000,8000,3,0,24,0.5909086522,0.1333333333,1,1,4,0,0,8621.77,6.9591278821,3.3677539531,0.2969338063,JAN,FEB,MAR,APR,MAY,JUN,6,180,37.947331922,2,1,7,1,1,1,0,150,0,JU,1,1,-564,-80,Fast,1,0,0,0,0,0,0,0,Long,7,1,0,52,8,0,1,Late,0,0,0,0,1,7,0.7249,High,0.0001839204,507.43,0,7,13.574114892,0,0,8043.6326531,0.2827940602,9,2022,0,0,0,0.0016530633,651.53507594,0,0,0,4,0,8043.6326531,0,1,1,1,0,1,0,-0.08,10,1,1,0,1,0,0,0,1,603.11613588,M,0,59.787530703,0,1,800,800,High,196.88386412,0,0,482492.9087,701.55806794,0,0,0,0,0,0
CUST000007,58,F,Married,Graduate,Unemployed,34683,Rented,Spencerstad,Washington,APP000007,2022-12-13,Auto Loan,Online,49417,36,ACC000007,2020-09-25,30856,1441.33,377,5,2,1,1,0,0,0,0.59,0,2022-12-31,27.77,0,1,0.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.04155724706628607,1,655.8743426296859,11,13,0.2,0.4,0,Very Low,0,0,B5,0,350,377,3,0.2,0.5,0,60000,8000,3,0,24,0.5449230368,0.1333333333,1,1,3,0,0,1441.33,41.628218382,24.063191636,0.0415572471,JAN,FEB,MAR,APR,MAY,JUN,6,180,37.947331922,2,1,7,1,1,1,0,150,0,JU,1,0,-1138,-163,Fast,1,0,1,0,1,0,0,0,Medium,0,0,0,58,9,0,1,Late,1,0,0,0,1,2,0.2777,Mid,0.0005619524,55.54,0,2,1.4248190756,0,0,1335.5945946,0.0395783077,11,2023,1,0,0,0.0010379426,51.292007842,0,0,0,3,0,1335.5945946,0,1,1,1,0,1,0,0.06,9,1,0,0,0,0,0,0,0,627.04379629,M,0,40.740689976,1,0,350,300,Low,-250.0437963,0,0,236395.5112,502.02189814,0,0,0,0,0,0
CUST000008,39,F,Married,Post Graduate,Self-employed,49134,Parental,West Kylechester,South Carolina,APP000008,2022-10-07,Home Loan,DSA,276450,24,ACC000008,2024-04-13,29831,12094.69,617,8,3,0,0,0,0,0,0.25,0,2022-12-31,56.02,0,0,0.85,1,1,0,0,33,0,0,0,0,0,45,0,0,0,0,45,6.5,2,0,0,1,0.24615724345666953,1,661.1757609088507,9,6,0.0,0.375,0,Low,0,0,B8,0,600,0,5,0.0,0.0,0,60000,8000,3,0,24,0.3091925032,0.1333333333,1,1,2,0,0,12094.69,4.9608547222,4.062443932,0.2461572435,JAN,FEB,MAR,APR,MAY,JUN,6,180,37.947331922,2,1,7,1,1,1,0,150,0,JU,1,0,211,30,Slow,0,1,0,0,0,0,0,0,Medium,5,1,0,15,2,0,0,Late,0,0,0,0,1,5,0.5602,High,0.0002026406,280.1,0,5,5.626450116,0,0,11058.0,0.2344354215,9,2023,0,0,0,0.0004884502,135.03205454,0,0,0,2,0,11058.0,0,1,1,1,0,1,0,0.15,8,1,0,0,0,0,0,0,0,652.16537067,M,0,78.989199408,0,0,600,600,Medium,-35.16537067,1,0,402386.0337,634.58268533,0,0,0,0,1,0
CUST000009,23,M,Married,Post Graduate,Salaried,25758,Parental,Brendamouth,Utah,APP000009,2022-02-14,Credit Card,Online,209748,12,ACC000009,2023-10-21,30612,18352.95,395,6,1,1,1,0,0,0,0.75,0,2022-12-31,69.14,1,1,0.91,0,1,0,0,0,0,0,33,0,0,0,0,0,0,0,33,2.75,1,0,0,0,0.712514558583741,1,696.5205145694954,13,8,0.1666666667,0.1666666667,0,Very Low,0,0,B6,0,350,395,5,0.1666666667,0.5,0,60000,8000,3,0,24,0.7367452628,0.1333333333,1,1,1,1,0,18352.95,3.2692291975,1.4034800945,0.7125145586,JAN,FEB,MAR,APR,MAY,JUN,6,180,37.947331922,2,1,7,1,1,1,0,150,0,JU,1,0,-581,-83,Fast,1,0,1,0,1,0,1,0,Short,4,1,0,21,3,0,0,Late,1,0,0,0,1,6,0.6914,High,0.0003296337,414.84,0,6,8.1430235267,1,0,16134.461538,0.6785852939,5,2025,0,1,0,0.0004658566,97.712488839,0,1,0,1,0,16134.461538,0,1,1,1,0,1,0,0.09,9,1,0,1,0,0,1,0,0,548.91409879,M,0,76.358069278,1,0,350,300,Low,-153.9140988,0,1,216821.06902,471.9570494,0,1,0,0,1,0
CUST000010,21,M,Single,High School,Unemployed,8189,Owned,North Meghanland,Vermont,APP000010,2022-10-30,Credit Card,Branch,329917,48,ACC000010,2020-09-22,254685,7216.93,441,4,1,1,2,0,0,0,0.74,1,2022-12-31,29.43,0,1,0.74,0,1,0,75,0,33,0,0,0,0,0,0,0,0,0,75,9.0,2,1,0,0,0.8812956404933447,1,686.9750588479052,9,8,0.25,0.25,0,Very Low,0,0,B4,0,400,882,3,0.5,0.3333333333,0,60000,8000,3,0,24,1.7967872352,0.1333333333,1,1,4,1,1,7216.93,8.3137843931,1.1346930066,0.8812956405,JAN,FEB,MAR,APR,MAY,JUN,6,180,37.947331922,2,1,7,1,1,1,0,150,0,JU,1,0,-695,-99,Fast,1,0,0,1,3,0,0,0,Long,6,1,0,58,9,0,1,Late,0,0,0,0,1,2,0.2943,High,8.92043e-05,58.86,0,2,40.287825131,0,0,6733.0,0.8393296902,8,2022,0,0,0,0.0058608059,1933.5794872,0,0,0,4,0,6733.0,0,1,1,1,0,0,0,0.26,7,0,0,1,0,0,1,0,0,704.43252468,M,0,65.16093084,1,0,400,400,Low,-263.4325247,0,0,310654.74338,572.71626234,0,0,0,0,0,0
